date,Open,High,Low,Close,adj. Close,Volume,dividend amount,split coefficient
2019-07-11,203.31,204.39,201.71,201.75,199.9043,20191842.0,0.0,1.0
2019-07-10,201.85,203.73,201.56,203.23,201.3708,17897138.0,0.0,1.0
2019-07-09,199.2,201.51,198.81,201.24,199.399,20578015.0,0.0,1.0
2019-07-08,200.81,201.4,198.41,200.02,198.1901,25338628.0,0.0,1.0
2019-07-05,203.35,205.08,202.9,204.23,202.3616,17265518.0,0.0,1.0
2019-07-03,203.28,204.44,202.6901,204.41,202.54,11362045.0,0.0,1.0
2019-07-02,201.41,203.1323,201.36,202.73,200.8753,16935217.0,0.0,1.0
2019-07-01,203.17,204.49,200.65,201.55,199.7061,27316739.0,0.0,1.0
2019-06-28,198.68,199.495,197.05,197.92,196.1093,31110642.0,0.0,1.0
2019-06-27,200.29,201.57,199.57,199.74,197.9127,20899717.0,0.0,1.0
2019-06-26,197.77,200.99,197.35,199.8,197.9722,26067512.0,0.0,1.0
2019-06-25,198.43,199.26,195.29,195.57,193.7808,21070334.0,0.0,1.0
2019-06-24,198.54,200.16,198.17,198.58,196.7633,18220421.0,0.0,1.0
2019-06-21,198.8,200.85,198.15,198.78,196.9615,47800589.0,0.0,1.0
2019-06-20,200.37,200.61,198.03,199.46,197.6353,21513988.0,0.0,1.0
2019-06-19,199.68,199.88,197.31,197.87,196.0598,21124235.0,0.0,1.0
2019-06-18,196.05,200.29,195.21,198.45,196.6345,26551004.0,0.0,1.0
2019-06-17,192.9,194.96,192.17,193.89,192.1162,14669144.0,0.0,1.0
2019-06-14,191.545,193.5863,190.3,192.74,190.9767,18761474.0,0.0,1.0
2019-06-13,194.7,196.79,193.6,194.15,192.3738,21674625.0,0.0,1.0
2019-06-12,193.95,195.97,193.385,194.19,192.4135,18253189.0,0.0,1.0
2019-06-11,194.86,196.0,193.6,194.81,193.0278,26932882.0,0.0,1.0
2019-06-10,191.81,195.37,191.62,192.58,190.8182,26220851.0,0.0,1.0
2019-06-07,186.51,191.92,185.77,190.15,188.4104,30684393.0,0.0,1.0
2019-06-06,183.08,185.47,182.1489,185.22,183.5255,22526311.0,0.0,1.0
2019-06-05,184.28,184.99,181.14,182.54,180.8701,29773427.0,0.0,1.0
2019-06-04,175.44,179.83,174.52,179.64,177.9966,30967961.0,0.0,1.0
2019-06-03,175.6,177.92,170.27,173.3,171.7146,40396069.0,0.0,1.0
2019-05-31,176.23,177.99,174.99,175.07,173.4684,27043584.0,0.0,1.0
2019-05-30,177.95,179.23,176.67,178.3,176.6688,21218412.0,0.0,1.0
2019-05-29,176.42,179.35,176.0,177.38,175.7573,28481165.0,0.0,1.0
2019-05-28,178.92,180.59,177.91,178.23,176.5995,27948160.0,0.0,1.0
2019-05-24,180.2,182.14,178.62,178.97,177.3327,23714686.0,0.0,1.0
2019-05-23,179.8,180.54,177.81,179.66,178.0164,36529736.0,0.0,1.0
2019-05-22,184.66,185.71,182.55,182.78,181.1079,29748556.0,0.0,1.0
2019-05-21,185.22,188.0,184.7,186.6,184.8929,28364848.0,0.0,1.0
2019-05-20,183.52,184.349,180.2839,183.09,181.415,38612290.0,0.0,1.0
2019-05-17,186.93,190.9,186.76,189.0,187.271,32879090.0,0.0,1.0
2019-05-16,189.91,192.4689,188.84,190.08,188.3411,33031364.0,0.0,1.0
2019-05-15,186.27,191.75,186.02,190.92,189.1734,26544718.0,0.0,1.0
2019-05-14,186.41,189.7,185.41,188.66,186.9341,36529677.0,0.0,1.0
2019-05-13,187.71,189.48,182.85,185.72,184.021,57430623.0,0.0,1.0
2019-05-10,197.419,198.85,192.77,197.18,195.3761,41208712.0,0.77,1.0
2019-05-09,200.4,201.68,196.66,200.72,198.1101,34908607.0,0.0,1.0
2019-05-08,201.9,205.34,201.75,202.9,200.2618,26339504.0,0.0,1.0
2019-05-07,205.88,207.4175,200.825,202.86,200.2223,38763698.0,0.0,1.0
2019-05-06,204.29,208.84,203.5,208.48,205.7692,32443113.0,0.0,1.0
2019-05-03,210.89,211.84,210.23,211.75,208.9967,20892378.0,0.0,1.0
2019-05-02,209.84,212.65,208.13,209.15,206.4305,31996324.0,0.0,1.0
2019-05-01,209.88,215.31,209.23,210.52,207.7827,64827328.0,0.0,1.0
2019-04-30,203.06,203.4,199.11,200.67,198.0608,46534923.0,0.0,1.0
2019-04-29,204.4,205.97,203.86,204.61,201.9495,22204716.0,0.0,1.0
2019-04-26,204.9,205.0,202.12,204.3,201.6436,18649102.0,0.0,1.0
2019-04-25,206.83,207.76,205.12,205.28,202.6108,18543206.0,0.0,1.0
2019-04-24,207.36,208.48,207.05,207.16,204.4664,17540609.0,0.0,1.0
2019-04-23,204.43,207.75,203.9,207.48,204.7822,23322991.0,0.0,1.0
2019-04-22,202.83,204.94,202.34,204.53,201.8706,19439545.0,0.0,1.0
2019-04-18,203.12,204.15,202.52,203.86,201.2093,24195766.0,0.0,1.0
2019-04-17,199.54,203.38,198.61,203.13,200.4888,28906780.0,0.0,1.0
2019-04-16,199.46,201.37,198.56,199.25,196.6592,25696385.0,0.0,1.0
2019-04-15,198.58,199.85,198.01,199.23,196.6395,17536646.0,0.0,1.0
2019-04-12,199.2,200.14,196.21,198.87,196.2842,27760668.0,0.0,1.0
2019-04-11,200.85,201.0,198.4431,198.95,196.3631,20900808.0,0.0,1.0
2019-04-10,198.68,200.74,198.18,200.62,198.0114,21695288.0,0.0,1.0
2019-04-09,200.32,202.85,199.23,199.5,196.906,35768237.0,0.0,1.0
2019-04-08,196.42,200.23,196.34,200.1,197.4982,25881697.0,0.0,1.0
2019-04-05,196.45,197.1,195.93,197.0,194.4385,18526644.0,0.0,1.0
2019-04-04,194.79,196.37,193.14,195.69,193.1455,19114275.0,0.0,1.0
2019-04-03,193.25,196.5,193.15,195.35,192.8099,23271830.0,0.0,1.0
2019-04-02,191.09,194.46,191.05,194.02,191.4972,22765732.0,0.0,1.0
2019-04-01,191.64,191.68,188.38,191.24,188.7534,27861964.0,0.0,1.0
2019-03-29,189.83,190.08,188.54,189.95,187.4801,23563961.0,0.0,1.0
2019-03-28,188.95,189.559,187.53,188.72,186.2661,20780363.0,0.0,1.0
2019-03-27,188.75,189.76,186.55,188.47,186.0194,29848427.0,0.0,1.0
2019-03-26,191.664,192.88,184.58,186.79,184.3612,49800538.0,0.0,1.0
2019-03-25,191.51,191.98,186.6,188.74,186.2859,43845293.0,0.0,1.0
2019-03-22,195.34,197.69,190.78,191.05,188.5658,42407666.0,0.0,1.0
2019-03-21,190.02,196.33,189.81,195.09,192.5533,51034237.0,0.0,1.0
2019-03-20,186.23,189.49,184.73,188.16,185.7134,31035231.0,0.0,1.0
2019-03-19,188.35,188.99,185.92,186.53,184.1046,31646369.0,0.0,1.0
2019-03-18,185.8,188.39,185.79,188.02,185.5752,26219832.0,0.0,1.0
2019-03-15,184.85,187.33,183.74,186.12,183.6999,39042912.0,0.0,1.0
2019-03-14,183.9,184.1,182.56,183.73,181.341,23579508.0,0.0,1.0
2019-03-13,182.25,183.3,180.92,181.71,179.3473,31032524.0,0.0,1.0
2019-03-12,180.0,182.67,179.37,180.91,178.5577,32467584.0,0.0,1.0
2019-03-11,175.49,179.12,175.35,178.9,176.5738,32011034.0,0.0,1.0
2019-03-08,170.32,173.07,169.5,172.91,170.6617,23999358.0,0.0,1.0
2019-03-07,173.87,174.44,172.02,172.5,170.257,24796374.0,0.0,1.0
2019-03-06,174.67,175.49,173.94,174.52,172.2508,20810384.0,0.0,1.0
2019-03-05,175.94,176.0,174.54,175.53,173.2476,19737419.0,0.0,1.0
2019-03-04,175.69,177.75,173.97,175.85,173.5635,27436203.0,0.0,1.0
2019-03-01,174.28,175.15,172.89,174.97,172.6949,25886167.0,0.0,1.0
2019-02-28,174.32,174.91,172.92,173.15,170.8986,28215416.0,0.0,1.0
2019-02-27,173.21,175.0,172.73,174.87,172.5962,27835389.0,0.0,1.0
2019-02-26,173.71,175.3,173.1732,174.33,172.0632,17070211.0,0.0,1.0
2019-02-25,174.16,175.87,173.95,174.23,171.9645,21873358.0,0.0,1.0
2019-02-22,171.58,173.0,171.38,172.97,170.7209,18913154.0,0.0,1.0
2019-02-21,171.8,172.37,170.3,171.06,168.8358,17249670.0,0.0,1.0
2019-02-20,171.19,173.32,170.99,172.03,169.7931,26114362.0,0.0,1.0
2019-02-19,169.71,171.44,169.49,170.93,168.7075,18972826.0,0.0,1.0
2019-02-15,171.25,171.7,169.75,170.42,168.2041,24626814.0,0.0,1.0
2019-02-14,169.71,171.2615,169.38,170.8,168.5791,21835747.0,0.0,1.0
2019-02-13,171.39,172.48,169.92,170.18,167.9672,22490233.0,0.0,1.0
2019-02-12,170.1,171.0,169.7,170.89,168.668,22283523.0,0.0,1.0
2019-02-11,171.05,171.21,169.25,169.43,167.227,20993425.0,0.0,1.0
2019-02-08,168.99,170.66,168.42,170.41,168.1942,23819966.0,0.73,1.0
2019-02-07,172.4,173.94,170.34,170.94,167.9977,31741690.0,0.0,1.0
2019-02-06,174.65,175.57,172.8531,174.24,171.2409,28239591.0,0.0,1.0
2019-02-05,172.86,175.08,172.3501,174.18,171.1819,36101628.0,0.0,1.0
2019-02-04,167.41,171.655,167.28,171.25,168.3023,31495582.0,0.0,1.0
2019-02-01,166.96,168.98,165.93,166.52,163.6537,32668138.0,0.0,1.0
2019-01-31,166.11,169.0,164.56,166.44,163.5751,40739649.0,0.0,1.0
2019-01-30,163.25,166.15,160.23,165.25,162.4056,61109780.0,0.0,1.0
2019-01-29,156.25,158.13,154.11,154.68,152.0175,41587239.0,0.0,1.0
2019-01-28,155.79,156.33,153.66,156.3,153.6096,26192058.0,0.0,1.0
2019-01-25,155.48,158.13,154.32,157.76,155.0445,33547893.0,0.0,1.0
2019-01-24,154.11,154.48,151.74,152.7,150.0716,25441549.0,0.0,1.0
2019-01-23,154.15,155.14,151.7,153.92,151.2706,23130570.0,0.0,1.0
2019-01-22,156.41,156.73,152.62,153.3,150.6613,30393970.0,0.0,1.0
2019-01-18,157.5,157.88,155.9806,156.82,154.1207,33751023.0,0.0,1.0
2019-01-17,154.2,157.66,153.26,155.86,153.1772,29821160.0,0.0,1.0
2019-01-16,153.08,155.88,153.0,154.94,152.2731,30569706.0,0.0,1.0
2019-01-15,150.27,153.39,150.05,153.07,150.4352,28710324.0,0.0,1.0
2019-01-14,150.85,151.27,149.22,150.0,147.4181,32439186.0,0.0,1.0
2019-01-11,152.88,153.7,151.51,152.29,149.6687,27023241.0,0.0,1.0
